Build Select,,Starting Class,,Head,Body,Arms,Legs,,Talismans,,,,,,,Great Rune,,Crystal Tear 1,Crystal Tear 2,,Weapon Class,,,,,,,,,Upgrade Levels,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,,weapons,canCast,Catalyst Select,,Spell 1,Spell 2,Spell 3,Spell 4,Spell 5,Spell 6,Spell 7,Spell 8,Spell 9,Spell 10,Spell 11,Spell 12,,Defaults,,
,,,,Dancer's Hood,Dancer's Dress,Briar Gauntlets,Mausoleum Knight Greaves,,Flock's Canvas Talisman,3050.0,Faithful's Canvas Talisman,Faithful's Canvas Talisman,Faithful's Canvas Talisman,Faithful's Canvas Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranni's Dark Moon,Ranni's Dark Moon,Ranni's Dark Moon,Ranni's Dark Moon,Ranni's Dark Moon,Ranni's Dark Moon,Ranni's Dark Moon,Ranni's Dark Moon,Ranni's Dark Moon,Ranni's Dark Moon,Ranni's Dark Moon,Ranni's Dark Moon,,,,
,,,,Foot Soldier Helm,Dancer's Dress (Altered),Fingerprint Gauntlets,Black Knight Greaves,,Primal Glintstone Blade,3080.0,Flock's Canvas Talisman,Flock's Canvas Talisman,Flock's Canvas Talisman,Flock's Canvas Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,,,,
,,,,Foot Soldier Helmet,Foot Soldier Tabard,Rakshasa Gauntlets,Bloodhound Knight Greaves,,Moon of Nokstella,1140.0,Primal Glintstone Blade,Primal Glintstone Blade,Primal Glintstone Blade,Primal Glintstone Blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,,,,
,,,,Foot Soldier Cap,Leather-Draped Tabard,Royal Remains Gauntlets,Cleanrot Greaves,,Old Lord's Talisman,3060.0,Moon of Nokstella,Moon of Nokstella,Moon of Nokstella,Moon of Nokstella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,Rellana's Twin Moons,,,,
,,,,Gilded Foot Soldier Cap,Chain-Draped Tabard,All-Knowing Gauntlets,Fire Knight Greaves,,Radagon Icon,3070.0,Old Lord's Talisman,Old Lord's Talisman,Old Lord's Talisman,Old Lord's Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,,,,
,,,,Sacred Crown Helm,Ivory-Draped Tabard,Royal Knight Gauntlets,Death Knight Greaves,,Beloved Stardust,3070.0,Radagon Icon,Radagon Icon,Radagon Icon,Radagon Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,,,,
,,,,Highwayman Hood,Scarlet Tabard,Rellana's Gloves,Horned Warrior Greaves,,Roar Medallion,2190.0,Beloved Stardust,Beloved Stardust,Beloved Stardust,Beloved Stardust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,,,,
,,,,Common Soldier Helm,Bloodsoaked Tabard,Maliketh's Gauntlets,Divine Bird Warrior Greaves,,Companion Jar,2210.0,Roar Medallion,Roar Medallion,Roar Medallion,Roar Medallion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,,,,
,,,,Vulgar Militia Helm,Highwayman Cloth Armor,Banished Knight Gauntlets,Oathseeker Knight Greaves,,Perfumer's Talisman,2220.0,Companion Jar,Companion Jar,Companion Jar,Companion Jar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,,,,
,,,,Shadow Militiaman Helm,Common Soldier Cloth Armor,Night's Cavalry Gauntlets,Raging Wolf Greaves,,Carian Filigreed Crest,6020.0,Perfumer's Talisman,Perfumer's Talisman,Perfumer's Talisman,Perfumer's Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,Carian Slicer,,,,
,,,,Duelist Helm,Vulgar Militia Armor,Gauntlets of Solitude,Hoslow's Greaves,,Warrior Jar Shard,1230.0,Carian Filigreed Crest,Carian Filigreed Crest,Carian Filigreed Crest,Carian Filigreed Crest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,,,,
,,,,Rotten Duelist Helm,Shadow Militiaman Armor,Veteran's Gauntlets,Twinned Greaves,,Shard of Alexander,1230.0,Warrior Jar Shard,Warrior Jar Shard,Warrior Jar Shard,Warrior Jar Shard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,,,,
,,,,Nox Monk Hood,Gravekeeper Cloak,Scaled Gauntlets,Drake Knight Greaves,,Godfrey Icon,3090.0,Shard of Alexander,Shard of Alexander,Shard of Alexander,Shard of Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,,,,
,,,,Nox Monk Hood (Altered),Gravekeeper Cloak (Altered),Beast Champion Gauntlets,Blaidd's Greaves,,Rellana's Cameo,8220.0,Godfrey Icon,Godfrey Icon,Godfrey Icon,Godfrey Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,,,,
,,,,Nox Swordstress Crown,Rotten Gravekeeper Cloak,Tree Sentinel Gauntlets,Briar Greaves,,Shattered Stone Talisman,8030.0,Rellana's Cameo,Rellana's Cameo,Rellana's Cameo,Rellana's Cameo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,,,,
,,,,Nox Swordstress Crown (Altered),Rotten Gravekeeper Cloak (Altered),Malformed Dragon Gauntlets,Fingerprint Greaves,,Smithing Talisman,8110.0,Shattered Stone Talisman,Shattered Stone Talisman,Shattered Stone Talisman,Shattered Stone Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,Carian Greatsword,,,,
,,,,Night Maiden Twin Crown,Nox Monk Armor,Crucible Gauntlets,Rakshasa Greaves,,Enraged Divine Beast,8180.0,Smithing Talisman,Smithing Talisman,Smithing Talisman,Smithing Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,,,,
,,,,Champion Headband,Nox Monk Armor (Altered),Gaius's Gauntlets,Royal Remains Greaves,,Talisman of the Dread,8170.0,Enraged Divine Beast,Enraged Divine Beast,Enraged Divine Beast,Enraged Divine Beast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,,,,
,,,,Leather Headband,Nox Swordstress Armor,Radahn's Gauntlets,All-Knowing Greaves,,Bull-Goat's Talisman,1210.0,Talisman of the Dread,Talisman of the Dread,Talisman of the Dread,Talisman of the Dread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,,,,
,,,,Leather Crown,Nox Swordstress Armor (Altered),Young Lion's Gauntlets,Royal Knight Greaves,,Blue Dancer Charm,2110.0,Bull-Goat's Talisman,Bull-Goat's Talisman,Bull-Goat's Talisman,Bull-Goat's Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,Carian Piercer,,,,
,,,,Fang Helm,Night Maiden Armor,Lionel's Gauntlets,Rellana's Greaves,,Verdigris Discus,8210.0,Blue Dancer Charm,Blue Dancer Charm,Blue Dancer Charm,Blue Dancer Charm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,,,,
,,,,Igon's Helm,Champion Pauldron,Bull-Goat Gauntlets,Maliketh's Greaves,,Magic Scorpion Charm,2000.0,Verdigris Discus,Verdigris Discus,Verdigris Discus,Verdigris Discus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,,,,
,,,,Igon's Helm (Altered),Highland Attire,Verdigris Gauntlets,Banished Knight Greaves,,Fire Scorpion Charm,2020.0,Magic Scorpion Charm,Magic Scorpion Charm,Magic Scorpion Charm,Magic Scorpion Charm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,,,,
,,,,Curseblade Mask,Gloried Attire,Omen Gauntlets,Night's Cavalry Greaves,,Lightning Scorpion Charm,2010.0,Fire Scorpion Charm,Fire Scorpion Charm,Fire Scorpion Charm,Fire Scorpion Charm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,,,,
,,,,Pelt of Ralva,Iron Rivet Armor,Fire Prelate Gauntlets,Greaves of Solitude,,Sacred Scorpion Charm,2030.0,Lightning Scorpion Charm,Lightning Scorpion Charm,Lightning Scorpion Charm,Lightning Scorpion Charm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,,,,
,,,,Chain Coif,Igon's Armor,,Veteran's Greaves,,Crucible Scale Talisman,4060.0,Sacred Scorpion Charm,Sacred Scorpion Charm,Sacred Scorpion Charm,Sacred Scorpion Charm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,,,,
,,,,Iron Helmet,Igon's Armor (Altered),,Scaled Greaves,,Crucible Feather Talisman,4070.0,Crucible Scale Talisman,Crucible Scale Talisman,Crucible Scale Talisman,Crucible Scale Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,Adula's Moonblade,,,,
,,,,Godrick Soldier Helm,Ascetic's Loincloth,,Beast Champion Greaves,,Crucible Knot Talisman,4110.0,Crucible Feather Talisman,Crucible Feather Talisman,Crucible Feather Talisman,Crucible Feather Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucidity,Lucidity,Lucidity,Lucidity,Lucidity,Lucidity,Lucidity,Lucidity,Lucidity,Lucidity,Lucidity,Lucidity,,,,
,,,,Raya Lucarian Helm,Chain Armor,,Tree Sentinel Greaves,,Fine Crucible Feather Talisman,8010.0,Crucible Knot Talisman,Crucible Knot Talisman,Crucible Knot Talisman,Crucible Knot Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,,,,
,,,,Radahn Soldier Helm,Dirty Chainmail,,Malformed Dragon Greaves,,Talisman of All Crucibles,4060.0,Fine Crucible Feather Talisman,Fine Crucible Feather Talisman,Fine Crucible Feather Talisman,Fine Crucible Feather Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,,,,
,,,,Leyndell Soldier Helm,Tree Surcoat,,Crucible Greaves,,Red-Feathered Branchsword,2040.0,Talisman of All Crucibles,Talisman of All Crucibles,Talisman of All Crucibles,Talisman of All Crucibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,,,,
,,,,Haligtree Helm,Eye Surcoat,,Gaius's Greaves,,Blue-Feathered Branchsword,4080.0,Red-Feathered Branchsword,Red-Feathered Branchsword,Red-Feathered Branchsword,Red-Feathered Branchsword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,,,,
,,,,Messmer Soldier Helm,Tree-and-Beast Surcoat,,Radahn's Greaves,,Ritual Sword Talisman,2050.0,Blue-Feathered Branchsword,Blue-Feathered Branchsword,Blue-Feathered Branchsword,Blue-Feathered Branchsword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,,,,
,,,,Exile Hood,Cuckoo Surcoat,,Young Lion's Greaves,,Ritual Shield Talisman,4090.0,Ritual Sword Talisman,Ritual Sword Talisman,Ritual Sword Talisman,Ritual Sword Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,Carian Retaliation,,,,
,,,,Kaiden Helm,Redmane Surcoat,,Lionel's Greaves,,Assassin's Crimson Dagger,5050.0,Ritual Shield Talisman,Ritual Shield Talisman,Ritual Shield Talisman,Ritual Shield Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miriam's Vanishing,Miriam's Vanishing,Miriam's Vanishing,Miriam's Vanishing,Miriam's Vanishing,Miriam's Vanishing,Miriam's Vanishing,Miriam's Vanishing,Miriam's Vanishing,Miriam's Vanishing,Miriam's Vanishing,Miriam's Vanishing,,,,
,,,,Land of Reeds Helm,Erdtree Surcoat,,Bull-Goat Greaves,,Assassin's Cerulean Dagger,5060.0,Assassin's Crimson Dagger,Assassin's Crimson Dagger,Assassin's Crimson Dagger,Assassin's Crimson Dagger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ambush Shard,Ambush Shard,Ambush Shard,Ambush Shard,Ambush Shard,Ambush Shard,Ambush Shard,Ambush Shard,Ambush Shard,Ambush Shard,Ambush Shard,Ambush Shard,,,,
,,,,Okina Mask,Haligtree Crest Surcoat,,Verdigris Greaves,,Winged Sword Insignia,2080.0,Assassin's Cerulean Dagger,Assassin's Cerulean Dagger,Assassin's Cerulean Dagger,Assassin's Cerulean Dagger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Night Shard,Night Shard,Night Shard,Night Shard,Night Shard,Night Shard,Night Shard,Night Shard,Night Shard,Night Shard,Night Shard,Night Shard,,,,
,,,,Iron Kasa,Mausoleum Surcoat,,Omen Greaves,,Rotten Winged Sword Insignia,2080.0,Winged Sword Insignia,Winged Sword Insignia,Winged Sword Insignia,Winged Sword Insignia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Night Comet,Night Comet,Night Comet,Night Comet,Night Comet,Night Comet,Night Comet,Night Comet,Night Comet,Night Comet,Night Comet,Night Comet,,,,
,,,,Eccentric's Hood,Messmer Soldier Armor,,Fire Prelate Greaves,,Millicent's Prosthesis,1250.0,Rotten Winged Sword Insignia,Rotten Winged Sword Insignia,Rotten Winged Sword Insignia,Rotten Winged Sword Insignia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Night Comet,Night Comet,Night Comet,Night Comet,Night Comet,Night Comet,Night Comet,Night Comet,Night Comet,Night Comet,Night Comet,Night Comet,,,,
,,,,Eccentric's Hood (Altered),Messmer Soldier Armor (Altered),,,,Godskin Swaddling Cloth,5040.0,Millicent's Prosthesis,Millicent's Prosthesis,Millicent's Prosthesis,Millicent's Prosthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Night Maiden's Mist,Night Maiden's Mist,Night Maiden's Mist,Night Maiden's Mist,Night Maiden's Mist,Night Maiden's Mist,Night Maiden's Mist,Night Maiden's Mist,Night Maiden's Mist,Night Maiden's Mist,Night Maiden's Mist,Night Maiden's Mist,,,,
,,,,Freyja's Helm,Scale Armor,,,,Kindred of Rot's Exultation,2170.0,Godskin Swaddling Cloth,Godskin Swaddling Cloth,Godskin Swaddling Cloth,Godskin Swaddling Cloth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Night Maiden's Mist,Night Maiden's Mist,Night Maiden's Mist,Night Maiden's Mist,Night Maiden's Mist,Night Maiden's Mist,Night Maiden's Mist,Night Maiden's Mist,Night Maiden's Mist,Night Maiden's Mist,Night Maiden's Mist,Night Maiden's Mist,,,,
,,,,Marionette Soldier Helm,Exile Armor,,,,Lord of Blood's Exultation,2160.0,Kindred of Rot's Exultation,Kindred of Rot's Exultation,Kindred of Rot's Exultation,Kindred of Rot's Exultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unseen Blade,Unseen Blade,Unseen Blade,Unseen Blade,Unseen Blade,Unseen Blade,Unseen Blade,Unseen Blade,Unseen Blade,Unseen Blade,Unseen Blade,Unseen Blade,,,,
,,,,Marionette Soldier Birdhelm,Kaiden Armor,,,,Aged One's Exultation,8060.0,Lord of Blood's Exultation,Lord of Blood's Exultation,Lord of Blood's Exultation,Lord of Blood's Exultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unseen Form,Unseen Form,Unseen Form,Unseen Form,Unseen Form,Unseen Form,Unseen Form,Unseen Form,Unseen Form,Unseen Form,Unseen Form,Unseen Form,,,,
,,,,Blue Silver Mail Hood,Land of Reeds Armor,,,,St. Trina's Smile,8160.0,Aged One's Exultation,Aged One's Exultation,Aged One's Exultation,Aged One's Exultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eternal Darkness,Eternal Darkness,Eternal Darkness,Eternal Darkness,Eternal Darkness,Eternal Darkness,Eternal Darkness,Eternal Darkness,Eternal Darkness,Eternal Darkness,Eternal Darkness,Eternal Darkness,,,,
,,,,Fire Monk Hood,Land of Reeds Armor (Altered),,,,Blade of Mercy,8230.0,St. Trina's Smile,St. Trina's Smile,St. Trina's Smile,St. Trina's Smile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,,,,
,,,,Blackflame Monk Hood,White Reed Armor,,,,Taker's Cameo,5030.0,Blade of Mercy,Blade of Mercy,Blade of Mercy,Blade of Mercy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,,,,
,,,,Zamor Mask,Ronin's Armor,,,,Ancestral Spirit's Horn,6110.0,Taker's Cameo,Taker's Cameo,Taker's Cameo,Taker's Cameo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,,,,
,,,,Black Knife Hood,Ronin's Armor (Altered),,,,Crusade Insignia,8050.0,Ancestral Spirit's Horn,Ancestral Spirit's Horn,Ancestral Spirit's Horn,Ancestral Spirit's Horn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,Magma Shot,,,,
,,,,Helm of Night,Eccentric's Armor,,,,Dried Bouquet,8100.0,Crusade Insignia,Crusade Insignia,Crusade Insignia,Crusade Insignia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,,,,
,,,,Malenia's Winged Helm,Freyja's Armor,,,,Gold Scarab,1110.0,Dried Bouquet,Dried Bouquet,Dried Bouquet,Dried Bouquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,,,,
,,,,Elden Lord Crown,Freyja's Armor (Altered),,,,Silver Scarab,1100.0,Gold Scarab,Gold Scarab,Gold Scarab,Gold Scarab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,,,,
,,,,Messmer's Helm,Marionette Soldier Armor,,,,Crepus's Vial,6000.0,Silver Scarab,Silver Scarab,Silver Scarab,Silver Scarab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,,,,
,,,,Messmer's Helm (Altered),Blue Silver Mail Armor,,,,Concealing Veil,6010.0,Crepus's Vial,Crepus's Vial,Crepus's Vial,Crepus's Vial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,,,,
,,,,Knight Helm,Blue Silver Mail Armor (Altered),,,,Longtail Cat Talisman,6040.0,Concealing Veil,Concealing Veil,Concealing Veil,Concealing Veil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,Roiling Magma,,,,
,,,,Vagabond Knight Helm,Fire Monk Armor,,,,Furled Finger's Trick-Mirror,6080.0,Longtail Cat Talisman,Longtail Cat Talisman,Longtail Cat Talisman,Longtail Cat Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,Gelmir's Fury,,,,
